method,eval_num,f1,cfg_lookback_days,cfg_min_complaints,cfg_class_weight_ratio,cfg_threshold,cfg_feature_subset,cfg_model_type,cfg_text_features,cfg_control_match_ratio,meta_n,meta_n_pos,meta_n_neg,meta_n_train,meta_n_test,meta_n_feat,meta_precision,meta_recall,meta_model,meta_elapsed
BO,1,0.4126984126984127,728.4085464477539,14,16.636598229408264,0.43554573059082036,2,0,0,3,179,46,133,125,54,15,0.2653061224489796,0.9285714285714286,logistic_regression,2.6972100734710693
BO,2,0.5,379.72856521606445,84,2.3921389281749725,0.5929359436035156,3,0,0,3,116,30,86,81,35,17,0.5714285714285714,0.4444444444444444,logistic_regression,2.0000481605529785
BO,3,0.45454545454545453,229.63762283325195,38,14.260608434677124,0.23917269706726074,1,2,0,3,116,30,86,81,35,10,0.38461538461538464,0.5555555555555556,gradient_boosted_trees,1.6536848545074463
BO,4,0.23529411764705882,558.4750366210938,60,9.517819553613663,0.7825645923614503,2,0,1,5,185,33,152,129,56,15,0.2857142857142857,0.2,logistic_regression,3.2517824172973633
BO,5,0.2727272727272727,465.18882751464844,42,3.943384528160095,0.8276949405670166,3,2,1,1,69,35,34,48,21,19,0.2727272727272727,0.2727272727272727,gradient_boosted_trees,1.2973532676696777
BO,6,0.8,156.66420459747314,70,18.20248633623123,0.19451233744621277,1,1,1,2,76,26,50,53,23,10,0.6666666666666666,1.0,random_forest,1.125610589981079
BO,7,0.4444444444444444,326.4524459838867,17,6.319804668426514,0.6469987869262696,3,0,0,5,220,39,181,154,66,17,0.4,0.5,logistic_regression,3.0993683338165283
BO,8,0.0,615.4446029663086,92,11.075792133808136,0.3809640645980835,1,1,0,5,178,33,145,124,54,10,0.0,0.0,random_forest,3.6650283336639404
BO,9,0.3,405.9226334095001,16,18.395965265110135,0.35361176298670455,1,1,1,2,118,40,78,82,36,10,0.375,0.25,random_forest,1.4944677352905273
BO,10,0.7272727272727273,156.6641997922365,69,18.202486162252605,0.19451234285233626,0,1,1,3,100,26,74,70,30,6,0.5714285714285714,1.0,random_forest,1.801530122756958
BO,11,0.7368421052631579,156.6641986179341,70,18.20248573284726,0.19451144705438317,3,0,1,1,51,26,25,35,16,19,0.6363636363636364,0.875,logistic_regression,0.9207344055175781
BO,12,0.8421052631578947,156.57683941015085,70,18.424700651137925,0.19803570104688534,0,1,1,2,76,26,50,53,23,6,0.7272727272727273,1.0,random_forest,1.302680253982544
BO,13,0.7619047619047619,156.68282811355218,70,18.842440405565256,0.16774487660823528,1,1,1,1,51,26,25,35,16,10,0.6153846153846154,1.0,random_forest,0.785459041595459
BO,14,0.7692307692307693,156.30163938603226,70,18.847085759299958,0.21966083002155667,2,2,0,2,76,26,50,53,23,15,1.0,0.625,gradient_boosted_trees,1.3668341636657715
BO,15,0.7692307692307693,156.88397106684394,70,18.600156986909056,0.3688377263983953,1,1,1,2,76,26,50,53,23,10,1.0,0.625,random_forest,1.4094657897949219
BO,16,0.9411764705882353,155.9866907119358,70,18.393409182239555,0.4468409687119688,1,2,1,2,76,26,50,53,23,10,0.8888888888888888,1.0,gradient_boosted_trees,1.5780296325683594
BO,17,0.7368421052631579,155.6280904941213,70,18.345651415285964,0.770975206944904,0,2,1,3,100,26,74,70,30,6,0.6363636363636364,0.875,gradient_boosted_trees,1.9014616012573242
BO,18,0.7692307692307693,155.8927934546598,70,18.30761253160869,0.3481585259470691,1,1,1,2,76,26,50,53,23,10,1.0,0.625,random_forest,1.5219976902008057
BO,19,1.0,156.31082953216045,70,18.47812786500374,0.6150940821848171,3,0,0,1,51,26,25,35,16,17,1.0,1.0,logistic_regression,0.6798112392425537
BO,20,0.6206896551724138,229.54545745593035,33,14.287858264304534,0.2578454683798291,3,0,0,1,65,33,32,45,20,17,0.47368421052631576,0.9,logistic_regression,0.8291058540344238
BO,21,0.6666666666666666,156.364734352132,70,18.39769904686803,0.717153713725923,3,1,1,1,51,26,25,35,16,19,1.0,0.5,random_forest,0.7557661533355713
BO,22,0.9411764705882353,156.48628205398742,70,18.02456536072239,0.17510926672712104,3,1,0,2,76,26,50,53,23,17,0.8888888888888888,1.0,random_forest,1.2481682300567627
BO,23,0.8888888888888888,156.47916461832472,70,18.02423499757292,0.21678061141350363,0,1,0,3,100,26,74,70,30,6,0.8,1.0,random_forest,1.8552908897399902
BO,24,0.7058823529411765,156.45826364239838,71,17.91972291211869,0.578100417417561,3,1,0,3,100,26,74,70,30,17,0.6666666666666666,0.75,random_forest,1.9423396587371826
BO,25,0.8888888888888888,156.59403246775855,69,17.363354511761734,0.10000000149011612,1,2,1,1,51,26,25,35,16,10,0.8,1.0,gradient_boosted_trees,0.7265126705169678
BO,26,0.875,156.54779813005365,69,16.913412979518476,0.10000000149011612,1,2,1,1,51,26,25,35,16,10,0.875,0.875,gradient_boosted_trees,0.9792792797088623
BO,27,0.6666666666666666,156.55024423779142,69,17.51793991499916,0.10000000149011612,3,0,0,2,76,26,50,53,23,17,0.5,1.0,logistic_regression,1.1275691986083984
BO,28,1.0,156.46197643529382,70,17.757464814297396,0.6833764239850936,3,2,0,1,51,26,25,35,16,17,1.0,1.0,gradient_boosted_trees,0.7046158313751221
BO,29,0.8421052631578947,156.5012722111196,70,17.54938941590525,0.6652068141523177,3,0,0,3,100,26,74,70,30,17,0.7272727272727273,1.0,logistic_regression,1.630021572113037
BO,30,0.8235294117647058,156.52111242312276,69,17.473018120921772,0.1798182958978784,1,2,1,5,145,26,119,101,44,10,0.7777777777777778,0.875,gradient_boosted_trees,2.5911593437194824
BO,31,0.5714285714285714,156.53182777802212,69,17.32455194747898,0.2077283616512143,1,0,1,3,100,26,74,70,30,10,0.4,1.0,logistic_regression,1.683241605758667
BO,32,0.6666666666666666,156.45231872560248,69,17.690279486173388,0.19662577683200777,1,0,0,1,51,26,25,35,16,10,0.5384615384615384,0.875,logistic_regression,0.9336962699890137
BO,33,0.7777777777777778,156.45256763266136,69,17.700400269322802,0.24587335289210557,0,2,0,5,145,26,119,101,44,6,0.7,0.875,gradient_boosted_trees,2.162421703338623
BO,34,0.8235294117647058,156.42376308189688,69,18.053492648389813,0.10000000149011612,3,2,0,3,100,26,74,70,30,17,0.7777777777777778,0.875,gradient_boosted_trees,1.6847224235534668
BO,35,0.8235294117647058,156.4356612431062,69,17.364889596334145,0.18463961424046194,3,2,0,1,51,26,25,35,16,17,0.7777777777777778,0.875,gradient_boosted_trees,0.9303340911865234
BO,36,0.8571428571428571,156.51972728614643,69,17.056604361819918,0.4741094690957455,3,1,0,1,51,26,25,35,16,17,1.0,0.75,random_forest,0.8015174865722656
BO,37,0.9333333333333333,156.43147428552132,69,17.91056020883335,0.8999999761581421,0,0,1,2,76,26,50,53,23,6,1.0,0.875,logistic_regression,1.1329340934753418
BO,38,0.8235294117647058,156.24025371825704,69,18.344142940568876,0.7637651928132038,3,0,1,2,76,26,50,53,23,19,0.7777777777777778,0.875,logistic_regression,1.2849690914154053
BO,39,1.0,156.36810451940792,69,17.6888612429463,0.8999999761581421,3,0,0,1,51,26,25,35,16,17,1.0,1.0,logistic_regression,0.7093713283538818
