company,score,complaints
CL Holdings LLC,0.9999661062458811,9537
SCHOOLSFIRST FEDERAL CREDIT UNION,0.9992822159275477,72
STATE EMPLOYEES CREDIT UNION,0.9988781163932449,288
"Synerprise Consulting Services, Inc.",0.9983498425453564,121
LEXISNEXIS,0.9914737888405765,11567
SUN LOAN COMPANY INC.,0.8266445376467039,96
World Omni Financial Corp.,0.805278012133291,187
"National Credit Systems,Inc.",0.7641597195023015,3149
"Fidelity National Information Services, Inc. (FNIS)",0.7554856008460291,3011
"Bull City Financial Solutions, Inc",0.7531289437820868,381
